TIME (UTC),y,x,STATION_NAME,TEMP (degC),STATION_PRESSURE (kPa),RELATIVE_HUMIDITY (%),DEW_POINT_TEMP (degC),WIND_SPEED (km/h),WIND_DIRECTION (deg),RAIN_AMOUNT (mm/hr),SNOW_AMOUNT (mm/hr
2024-01-05 02:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.169496417,102.2375272333,72.642118017,-28.657396067,10.813686516,318.733051833,,0.0
2024-01-05 03:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.609992117,102.26350233330001,72.474061067,-29.108673617,11.813313186,326.608514667,,0.0
2024-01-05 04:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.462120583,102.2922417167,71.712111017,-29.078431917,8.559287582400001,332.890697,,0.0
2024-01-05 05:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.034667867,102.32445279999999,72.016108333,-29.587056467,7.3481899464,329.708496167,,0.0
2024-01-05 06:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.098376833,102.35503078330001,71.711264833,-29.693811767,10.9619901612,319.766105667,,0.0
2024-01-05 07:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.147604,102.35285381669999,71.901515283,-30.680724633,12.1647190824,314.630079333,,0.0
2024-01-05 08:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.012167117,102.3615839,71.814717867,-31.5299072,12.986990045999999,311.835336667,,0.0
2024-01-05 09:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.035168417,102.3765243,71.352135283,-31.619783467,11.9473893576,318.3745665,,0.0
2024-01-05 10:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.0696584,102.40255258330001,70.960953017,-31.7104807,11.5844776056,316.422515167,,0.0
2024-01-05 11:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.387802817,102.4027743,70.9045291,-32.02621615,10.9662325848,321.567199333,,0.0
2024-01-05 12:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.746690683,102.3966067167,70.918196133,-32.371043817,9.6571680768,321.2569065,,0.0
2024-01-05 13:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.0998802,102.4085227167,71.022948517,-31.730648033,8.696476177200001,326.966990667,,0.0
2024-01-05 14:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.886780933,102.39856275,70.57020295,-31.591457233,9.3268220796,315.867669167,,0.0
2024-01-05 15:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.007391417,102.40133335,71.137518267,-31.6243207,12.2766232572,321.612053333,,0.0
2024-01-05 16:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.5993173,102.3918946167,71.485515733,-32.1457947,13.2524430444,316.9588945,,0.0
2024-01-05 17:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-28.426794417,102.392251,71.364535483,-31.99663445,7.8070454748,302.019467,,0.0
2024-01-05 18:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.474028967,102.36718685,71.246970317,-31.092565317,9.5522747292,283.481243667,,0.0
2024-01-05 19:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.431910567,102.3649868,71.55051185,-30.040310883,10.513811484,287.101995,,0.0
2024-01-05 20:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.88132345,102.3647336833,70.04088865,-29.7353558,10.31511195,292.535034333,,0.0
2024-01-05 21:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.843148833,102.3266459333,70.385504533,-29.645822583,14.484964683600001,277.350743167,,0.0
2024-01-05 22:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.824440983,102.3214824833,70.950263217,-29.5431207,14.0897936484,291.377467,,0.0
2024-01-05 23:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.696638983,102.29142423329999,71.391042083,-29.35312975,18.6697816812,277.296705667,,0.0
2024-01-06 00:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.938154767,102.2975072833,71.50990175,-29.568973117,9.7793210268,217.478526183,,0.0
2024-01-06 01:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.981994333,102.2721021,71.332895317,-29.637657417,13.7757502152,273.385485333,,0.0
2024-01-06 02:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.990505333,102.2483696,71.0113965,-29.693876783,13.529227932000001,280.835093833,,0.0
2024-01-06 03:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.21780175,102.2287437833,70.62834915,-29.970885617,13.0307784336,275.320671,,0.0
2024-01-06 04:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.914484067,102.1917703833,72.0772463,-30.42940175,14.0626524996,285.294458,,0.0
2024-01-06 05:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.903584517,102.18817471669999,71.926334067,-30.441215833,15.535703635200003,285.2599825,,0.0
2024-01-06 06:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.222880533,102.15591825,71.456885783,-30.8188762,15.949079632800002,272.725628667,,0.0
2024-01-06 07:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.372828317,102.15184423330001,71.110585183,-31.014997417,14.2626893652,296.775314667,,0.0
2024-01-06 08:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.299001333,102.1361052333,70.754464917,-30.99626005,12.7636606656,302.936036,,0.0
2024-01-06 09:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-27.502876683,102.15755745,70.686069567,-31.20336725,11.1201938784,300.343757167,,0.0
